id,titre,prix_mad,ville,quartier,surface_m2,nb_chambres,nb_salles_de_bain,prix_par_m2,scraped_at
6748,Appartement terrasse 3 chambres balcon ascenseur syndic sur la rue,1156000.0,Tanger,Tanja Balia,136.0,3,2,8500.0,2026-05-07 14:31:06.506984
6749,"Appartement meublé de 76 m², ascenseur, syndic, sur la rue",798000.0,Tanger,Tanja Balia,76.0,2,1,10500.0,2026-05-07 14:31:06.507123
6750,Appartement à vendre 56 m² à Sidi Rehal,370000.0,Casablanca,Sidi Belyout,56.0,2,2,6607.14,2026-05-07 14:31:06.507260
6751,Appartement 4 pièces 102 m² ascenseur syndic sur rue,1070000.0,Tanger,Tanja Balia,102.0,4,2,10490.2,2026-05-07 14:31:06.507391
6752,Appartement à vendre 160 m² à Tanger Moulay Ismail,2500000.0,Tanger,Centre Ville,160.0,3,2,15625.0,2026-05-07 14:31:06.507532
6753,"Appartement 93 m², ascenseur, syndic, 3 chambres",750000.0,Tanger,Tanja Balia,93.0,3,2,8064.52,2026-05-07 14:31:06.507669
6754,"Appartement terrasse 118 m², ascenseur, syndic, à 3 minutes de la gare",800000.0,Tanger,Tanja Balia,118.0,2,1,6779.66,2026-05-07 14:31:06.507828
6755,"Appartement avec terrasse 196 m², ascenseur, syndic, déclaration totale",1020000.0,Tanger,Tanja Balia,196.0,2,1,5204.08,2026-05-07 14:31:06.507972
6756,Appartement à vendre à Tajzi'at Al Fadl,400000.0,Casablanca,Hay Moulay Rachid,57.0,2,1,7017.54,2026-05-07 14:31:06.508110
6757,Appartement à vendre 55 m² à Casablanca,520000.0,Casablanca,Aïn Chock,55.0,2,1,9454.55,2026-05-07 14:31:06.508366
6758,Bel appartement à Wifaq,1750000.0,Temara,Wifak,103.0,3,2,16990.29,2026-05-07 14:31:06.508529
6759,Appartement à vendre 105 m² à El Mansouria,1300000.0,El Mansouria,Toute La Ville,109.0,2,2,11926.61,2026-05-07 14:31:06.508673
6760,Appartement rénové neuf à la Gironde,940000.0,Casablanca,La Gironde,80.0,2,2,11750.0,2026-05-07 14:31:06.508830
6761,Appartement à vendre 84 m² à Tanger,2350000.0,Tanger,Centre Ville,84.0,2,2,27976.19,2026-05-07 14:31:06.508960
6762,Appartement meublé à vendre 79 m² à Tanger,1890000.0,Tanger,Centre Ville,79.0,2,2,23924.05,2026-05-07 14:31:06.509098
6763,Appartement à vendre,300000.0,Béni Yakhlef,Toute La Ville,56.0,2,1,5357.14,2026-05-07 14:31:06.509231
6764,Joli appartement à vendre,590000.0,Had Soualem,Toute La Ville,100.0,3,2,5900.0,2026-05-07 14:31:06.509357
6765,Appartements à vendre bas Agdal,1500000.0,Rabat,Agdal,117.0,3,1,12820.51,2026-05-07 14:31:06.509517
6766,Appartement à vendre 57 m² à Tanger,1500000.0,Tanger,Malabata,57.0,2,1,26315.79,2026-05-07 14:31:06.509659
6767,"Kénitra : Beau appartement meublé à vendre, propre et prêt",570000.0,Kénitra,Seyad,90.0,2,1,6333.33,2026-05-07 14:31:06.509855
6768,Appartement 62 m2 résidence Mekka sécurisée,560000.0,Mohammedia,Hay Saada,62.0,2,1,9032.26,2026-05-07 14:31:06.509989
6769,STUDIO MAGNIFIQUE À SAISIR,1350000.0,Casablanca,Riviera,48.0,1,1,28125.0,2026-05-07 14:31:06.510118
6770,Appartement à vendre 91 m² à Marrakech,1400000.0,Marrakech,Route De Casablanca,91.0,2,2,15384.62,2026-05-07 14:31:06.510246
6771,"Appartement à vendre, résidence Firdaous, premier étage",530000.0,Casablanca,Oulfa,53.0,2,2,10000.0,2026-05-07 14:31:06.510382
6772,Appartement à vendre 99 m² à Bouznika,940000.0,Bouznika,Autre Secteur,99.0,2,2,9494.95,2026-05-07 14:31:06.510519
6773,Appartement à vendre 80 m² à Ksar el-Kebir,330000.0,Ksar El-Kebir,Toute La Ville,80.0,2,2,4125.0,2026-05-07 14:31:06.510661
6774,Appartement 2ème étage Azzouzziya Bab Asfi,340000.0,Marrakech,Azzouzia,54.0,2,1,6296.3,2026-05-07 14:31:06.510798
6775,Appartement Bachkou à vendre,600000.0,Casablanca,Bachkou,58.0,2,1,10344.83,2026-05-07 14:31:06.510928
6776,Appartement à vendre Casablanca belvédère,970000.0,Casablanca,Belvédère,67.0,2,2,14477.61,2026-05-07 14:31:06.511057
6777,Appartement à vendre 89 m² à Casablanca,1800000.0,Casablanca,Maarif,89.0,3,2,20224.72,2026-05-07 14:31:06.511190
6778,Appartement à vendre 89 m² à Casablanca,820000.0,Casablanca,Hay Al Amal,89.0,3,1,9213.48,2026-05-07 14:31:06.511324
6779,Appartement à vendre 167 m² à Fès,890000.0,Fès,Agdal,167.0,3,2,5329.34,2026-05-07 14:31:06.511452
6780,"Appartement 106 m², 3 chambres, garage, ascenseur, piscine, Tanger Baliya",1378000.0,Tanger,Centre Ville,106.0,3,2,13000.0,2026-05-07 14:31:06.511588
6781,Appartement à vendre 60 m² à Kénitra,5600000.0,Kénitra,Alliance,70.0,2,1,80000.0,2026-05-07 14:31:06.511724
6782,Appartement à vendre 75 m² à Kénitra 51 million,580000.0,Kénitra,Alliance,85.0,2,2,6823.53,2026-05-07 14:31:06.511864
6783,"Appartement 3 chambres, 3 salles de bain, ascenseur, syndic, garage, déclaration totale",2325000.0,Tanger,Centre Ville,150.0,3,2,15500.0,2026-05-07 14:31:06.512001
6784,Appartement à vendre à Msannat Golf,620000.0,Tanger,Mesnana,56.0,2,1,11071.43,2026-05-07 14:31:06.512135
6785,Appartement 3 chambres 150 m² ascenseur syndic sur le boulevard,1950000.0,Tanger,Centre Ville,150.0,3,2,13000.0,2026-05-07 14:31:06.512264
6786,"Excellent emplacement, R'bana Aya",72000000.0,Martil,Toute La Ville,70.0,2,2,1028571.43,2026-05-07 14:31:06.512440
6787,Appartements de luxe à vendre avec soutien,800000.0,Berkane,Toute La Ville,130.0,2,1,6153.85,2026-05-07 14:31:06.512592
6788,"Appartement 56 m², ascenseur, syndic, 5 minutes de Malabata",550000.0,Tanger,Tanja Balia,56.0,2,1,9821.43,2026-05-07 14:31:06.512722
6789,Appartement meublé à vendre 70 m² à Mohammedia,490000.0,Mohammedia,Autre Secteur,70.0,3,2,7000.0,2026-05-07 14:31:06.512871
6790,CABINET MÉDICAL OU COMMERCE À VENDRE,650000.0,Tamesna,Toute La Ville,85.0,3,1,7647.06,2026-05-07 14:31:06.513013
6791,appartement 3 chambres ascenseur l'aide l'état,876000.0,Tanger,Marjane,73.0,3,2,12000.0,2026-05-07 14:31:06.513143
6792,Appartement à vendre 40 m² à Wifaq,480000.0,Temara,Wifak,40.0,1,1,12000.0,2026-05-07 14:31:06.513273
6793,"Appartement 74 m², garage, ascenseur, balcon, aide de l'État",740000.0,Tanger,Marjane,74.0,2,2,10000.0,2026-05-07 14:31:06.513406
6794,"Appartement 120 m², garage, ascenseur, balcon sur la rue principale",1020000.0,Tanger,Marjane,120.0,4,2,8500.0,2026-05-07 14:31:06.513540
6795,Appartement ascenseur balcon vue sur la rue,450000.0,Tanger,Marjane,57.0,2,1,7894.74,2026-05-07 14:31:06.513672
6796,Appartement 3 chambres 80 mètres ascenseur syndic 5 minutes Malabata,750000.0,Tanger,Tanja Balia,80.0,3,1,9375.0,2026-05-07 14:31:06.513812
6797,"Appartement meublé de 76m², ascenseur syndic, sur rue",760000.0,Tanger,Tanja Balia,76.0,2,1,10000.0,2026-05-07 14:31:06.513953
6798,Appartement 3 chambres 93 m ascenseur syndic balcon,750000.0,Tanger,Tanja Balia,93.0,2,2,8064.52,2026-05-07 14:31:06.514119
6799,Appartement 4 pièces 102 m ascenseur syndic sur la rue,1070000.0,Tanger,Tanja Balia,102.0,4,2,10490.2,2026-05-07 14:31:06.514256
6800,"Appartement terrasse 196 m², ascenseur, syndic, déclaration totale",1020000.0,Tanger,Tanja Balia,196.0,2,1,5204.08,2026-05-07 14:31:06.514398
6801,Appartement excellent 64 mètres avec soutien financier,520000.0,Marrakech,Autre Secteur,64.0,2,1,8125.0,2026-05-07 14:31:06.514539
6802,Appartement à vendre à Roche Noire,740000.0,Casablanca,Roches Noires,76.0,2,2,9736.84,2026-05-07 14:31:06.514677
6803,Appartement meublé à vendre à côté de l'hôtel Hilton,1650000.0,Tanger,Tanger City Center,110.0,2,2,15000.0,2026-05-07 14:31:06.514817
6804,Appartement à vendre 54 m² à Mohammedia,370000.0,Mohammedia,Autre Secteur,54.0,2,1,6851.85,2026-05-07 14:31:06.514949
6805,Appartement à vendre à Haye Izdehar,1180000.0,Marrakech,Hay Izdihar,86.0,2,2,13720.93,2026-05-07 14:31:06.515103
6806,Appartement à vendre El Mansouria,1000000.0,El Mansouria,Toute La Ville,100.0,2,2,10000.0,2026-05-07 14:31:06.515240
6807,"Quartier Al Qods, Bernoussi",640000.0,Casablanca,Al Qods,71.0,2,1,9014.08,2026-05-07 14:31:06.515371
6808,Appartement titré à vendre 80m² Avenue Hassan II - Tétouan,720000.0,Tétouan,El Ensanche,80.0,2,1,9000.0,2026-05-07 14:31:06.515495
6809,Appartement titré à vendre à Khandak Zerbouh,440000.0,Tétouan,Al Azhar,75.0,2,1,5866.67,2026-05-07 14:31:06.515619
6810,"Appt bien rénové, meublée à vendre 50 m² à Agadir",620000.0,Agadir,Autre Secteur,50.0,2,1,12400.0,2026-05-07 14:31:06.515742
6811,Appartement à vendre,370000.0,Fès,Route Ain Chkaf,88.0,3,1,4204.55,2026-05-07 14:31:06.515881
6812,Appartement meublé à vendre 70 m² à Ain Sebaa Casa,850000.0,Casablanca,Ain Sebaa,70.0,2,1,12142.86,2026-05-07 14:31:06.516012
6813,Appartement à vendre,380000.0,Mohammedia,Nassim,58.0,2,1,6551.72,2026-05-07 14:31:06.516150
6814,Appartement avec escalier séparé à vendre,940000.0,El Jadida,Autre Secteur,140.0,3,3,6714.29,2026-05-07 14:31:06.516275
6815,appartement à vendre,400000.0,Casablanca,Oulfa,50.0,2,1,8000.0,2026-05-07 14:31:06.516431
6816,Résidence Saada2 Agadir Hay Mohamdi,520000.0,Agadir,Hay Mohammadi,47.0,2,1,11063.83,2026-05-07 14:31:06.516561
6817,Appartement à vendre 51 m² à Tanger,450000.0,Tanger,Mesnana,51.0,2,1,8823.53,2026-05-07 14:31:06.516687
6818,Appartement à vendre ou à louer meublé,550000.0,Meknès,El Bassatine,90.0,3,1,6111.11,2026-05-07 14:31:06.516819
6819,Appartement à vendre 72 m² à Berrechid,420000.0,Berrechid,Toute La Ville,72.0,2,2,5833.33,2026-05-07 14:31:06.516946
6820,Appartement à vendre 72 m² à Berrechid,420000.0,Berrechid,Toute La Ville,72.0,2,2,5833.33,2026-05-07 14:31:06.517078
6821,Appartement 2 chambres à vendre à Oulfa,900000.0,Casablanca,Oulfa,80.0,2,2,11250.0,2026-05-07 14:31:06.517210
6822,Appartement à vendre Iqamat Nakhil Mohammedia,330000.0,Mohammedia,El Alia,54.0,2,1,6111.11,2026-05-07 14:31:06.517338
6823,3 appartements,480000.0,Agadir,Autre Secteur,150.0,2,1,3200.0,2026-05-07 14:31:06.517461
6824,Appartement à vendre à Had Soualem,310000.0,Had Soualem,Toute La Ville,54.0,2,2,5740.74,2026-05-07 14:31:06.517592
6825,Studio de luxe,480000.0,Tanger,Aviation,38.0,1,1,12631.58,2026-05-07 14:31:06.517720
6826,Appartement à vendre 3ème étage près hay najd,250000.0,El Jadida,Autre Secteur,60.0,2,1,4166.67,2026-05-07 14:31:06.517851
6827,Appartement à vendre,790000.0,Kénitra,Ouled Oujih,110.0,3,2,7181.82,2026-05-07 14:31:06.517992
6828,Appartement Ain Sebaa El Amene 2 . 64 m,420000.0,Casablanca,Ain Sebaa,64.0,2,1,6562.5,2026-05-07 14:31:06.518123
6829,Appartement à vendre 59 m² à Temara,499999.0,Temara,Autre Secteur,62.0,2,2,8064.5,2026-05-07 14:31:06.518387
6830,Vente Appartement meublé,1530000.0,Tanger,Centre Ville,82.0,2,1,18658.54,2026-05-07 14:31:06.518523
6831,appartement à vendre,460000.0,Casablanca,Hay Moulay Rachid,59.0,2,1,7796.61,2026-05-07 14:31:06.518646
6832,Bel Appartement à vendre à MARINA Casablanca,3810000.0,Casablanca,Marina,172.0,2,2,22151.16,2026-05-07 14:31:06.518770
6833,Appartement à vendre à Temara,430000.0,Temara,Fath El Kheir,50.0,2,1,8600.0,2026-05-07 14:31:06.518926
6834,Appartements à vendre 71 m² à Bouskoura,420000.0,Bouskoura,Bouskoura Centre,71.0,2,1,5915.49,2026-05-07 14:31:06.519054
6835,APPARTEMENT MEUBLÉ HAUT STANDING -VERT MARINE GH1-,2370000.0,Dar Bouazza,Toute La Ville,145.0,2,2,16344.83,2026-05-11 20:49:52.416518
6836,Appartement à vendre 66 m² à Kénitra,300000.0,Kénitra,Bir Rami,66.0,2,1,4545.45,2026-05-11 20:49:52.452203
6837,Appartement à vendre 50 m² à Dar Bouazza,360000.0,Dar Bouazza,Toute La Ville,50.0,2,1,7200.0,2026-05-11 20:49:52.453319
6838,Appartement à vendre 59 m² à Mohammedia,650000.0,Mohammedia,Autre Secteur,59.0,2,1,11016.95,2026-05-11 20:49:52.456225
6839,À VENDRE Magnifique Rez-de-Jardin Orangeraie de Souissi,5500000.0,Rabat,Souissi,225.0,3,3,24444.44,2026-05-11 20:49:52.457225
6840,Appartements de luxe à vendre Camélia,620000.0,Meknès,Autre Secteur,120.0,3,3,5166.67,2026-05-11 20:49:52.457394
6841,Appartement à vendre 60 m² à Tanger,38000000.0,Tanger,Ziatene,60.0,2,1,633333.33,2026-05-11 20:49:52.458424
6842,Appartement à vendre 52 m² à Bouznika,350000.0,Bouznika,Autre Secteur,52.0,2,1,6730.77,2026-05-11 20:49:52.458526
6843,"Appartement neuf, climatisation centralisé",1290000.0,Marrakech,Guéliz,87.0,2,2,14827.59,2026-05-11 20:49:52.458968
6844,"Super emplacement, neuf, Livraison dans 2 mois",1190000.0,Marrakech,Guéliz,69.0,2,2,17246.38,2026-05-11 20:49:52.459055
6845,"Appartement 93 m², 3 chambres, ascenseur, syndic, 4 minutes de la gare",744000.0,Tanger,Tanja Balia,93.0,3,1,8000.0,2026-05-11 20:49:52.459547
6846,Appartement à vendre 60 m² à Mohammedia,280000.0,Mohammedia,Autre Secteur,60.0,2,1,4666.67,2026-05-11 20:49:52.459857
6847,Studio à Vendre,1350000.0,Marrakech,Av Mohammed Vi,77.0,1,1,17532.47,2026-05-11 20:49:52.460214
6848,Appartement meublé résidence kettani,350000.0,Bouznika,Autre Secteur,52.0,2,1,6730.77,2026-05-11 20:49:52.460578
6849,Appartement à vendre à Salé Al Jadida,550000.0,Salé,Sala El Jadida,70.0,2,2,7857.14,2026-05-11 20:49:52.460761
6850,Appartement à vendre,420000.0,Casablanca,Sidi Moumen,55.0,2,2,7636.36,2026-05-11 20:49:52.461027
6851,Appartement à vendre 57 m² à Bouskoura,350000.0,Bouskoura,Bouskoura Centre,57.0,2,1,6140.35,2026-05-11 20:49:52.461113
6852,Appt meublé à Oasis à vendre 105m²,1850000.0,Casablanca,Oasis,105.0,2,2,17619.05,2026-05-11 20:49:52.461199
6853,Appartement à vendre 132 m² à Kénitra,1250000.0,Kénitra,La Ville Haute,147.0,3,3,8503.4,2026-05-11 20:49:52.461650
6854,Appartement à vendre 86 m² à Hay inara 1 Casa,880000.0,Casablanca,Hay Inara,86.0,2,1,10232.56,2026-05-11 20:49:52.461736
6855,JOLI APPART EN FACE LA GARE AIN SEBAA 58/M RDC,600000.0,Casablanca,Ain Sebaa,58.0,2,1,10344.83,2026-05-11 20:49:52.462785
6856,Appartement calme avec terrasse,1150000.0,Casablanca,Aïn Chock,96.0,3,1,11979.17,2026-05-11 20:49:52.462874
6857,Appartement à vendre 95 m² à Casablanca,1350000.0,Casablanca,Quartier Des Hôpitaux,95.0,2,2,14210.53,2026-05-11 20:49:52.462986
6858,Studio à vendre 38 m² à Casablanca,950000.0,Casablanca,Franceville,38.0,1,1,25000.0,2026-05-11 20:49:52.463739
6859,Vente Appartement de 106 m2 à Casablanca,1690000.0,Casablanca,Californie,106.0,3,2,15943.4,2026-05-11 20:49:52.464012
6860,Vente Appartement 3 pièces de 86 m2 à Tamaris,1300000.0,Tamaris,Toute La Ville,86.0,2,2,15116.28,2026-05-11 20:49:52.464102
6861,appartement a vendre,700000.0,Agadir,El Houda,59.0,2,1,11864.41,2026-05-11 20:49:52.464564
6862,vente appartement vide,880000.0,Agadir,Hay Dakhla,108.0,2,2,8148.15,2026-05-11 20:49:52.465027
6863,Appartement à vendre 97 m² à Californie,1650000.0,Casablanca,Californie,97.0,2,2,17010.31,2026-05-11 20:49:52.465115
6864,Vente Appartement 3 pièces de 94 m2 à Tamaris,1400000.0,Tamaris,Toute La Ville,94.0,2,2,14893.62,2026-05-11 20:49:52.465301
6865,Appartement à vendre 82 m² à Casablanca,1300000.0,Casablanca,Maarif,82.0,2,2,15853.66,2026-05-11 20:49:52.465399
6866,appartement à vendre,370000.0,Mohammedia,Nassim,54.0,2,1,6851.85,2026-05-11 20:49:52.465585
6867,Appartement à vendre quartier Mohamadi,870000.0,Agadir,Hay Mohammadi,72.0,2,2,12083.33,2026-05-11 20:49:52.466042
6868,appartement à vendre,430000.0,El Jadida,Amal,64.0,2,1,6718.75,2026-05-11 20:49:52.466158
6869,Apparts 70m à 80m Neuf Aharrarine 3min La Gare,610000.0,Tanger,Aharrarine,80.0,3,2,7625.0,2026-05-11 20:49:52.466341
6870,Vente Appartement 3 pièces de 107 m2 à Casablanca,1500000.0,Casablanca,Riviera,107.0,2,2,14018.69,2026-05-11 20:49:52.466614
6871,Appartement à vendre 80 m² à Kénitra,750000.0,Kénitra,Autre Secteur,105.0,3,2,7142.86,2026-05-11 20:49:52.466795
6872,Vente Appartement 4 pièces de 54 m2 à Marrakech,440000.0,Marrakech,M'Hamid,54.0,3,1,8148.15,2026-05-11 20:49:52.466987
6873,"Appartement à vendre 83 m² à semlalia, guéliz",1550000.0,Marrakech,Guéliz,84.0,2,2,18452.38,2026-05-11 20:49:52.467165
6874,Vente Appartement de 148 m2 à Casablanca,1998000.0,Casablanca,Quartier Des Hôpitaux,148.0,3,2,13500.0,2026-05-11 20:49:52.467915
6875,Vente Appartement 3 pièces de 81 m2 à Zenata,927000.0,Zenata,Toute La Ville,81.0,2,2,11444.44,2026-05-11 20:49:52.468005
6876,Vente Appartement 3 pièces de 73 m2 à Casablanca,590000.0,Casablanca,Errahma,73.0,2,2,8082.19,2026-05-11 20:49:52.468093
6877,Vente Appartement 4 pièces de 118 m2 à Casablanca,1450000.0,Casablanca,Val Fleuri,118.0,3,1,12288.14,2026-05-11 20:49:52.468181
6878,Vente Appartement 5 pièces de 186 m2 à Casablanca,2980000.0,Casablanca,Gauthier,186.0,3,2,16021.51,2026-05-11 20:49:52.468271
6879,Appart 123m Haut Standing Socrate Maarif Ex,1600000.0,Casablanca,Maârif Extension,123.0,3,2,13008.13,2026-05-11 20:49:52.468548
6880,Vente Appartement 3 pièces de 67 m2 à Ain Harrouda,533000.0,Ain Harrouda,Toute La Ville,67.0,2,1,7955.22,2026-05-11 20:49:52.468818
6881,Vente Appartement 2 pièces de 137 m2 à Casablanca,1280000.0,Casablanca,Californie,137.0,1,2,9343.07,2026-05-11 20:49:52.469127
6882,appartement à vendre près de la gare tgv,1850000.0,Tanger,Tanger City Center,85.0,2,2,21764.71,2026-05-11 20:49:52.469334
6883,Appartement Neuf 84 m² à Guéliz Avec Piscine,1550000.0,Marrakech,Guéliz,84.0,2,2,18452.38,2026-05-11 20:49:52.469834
6884,appartement à vendre,370000.0,Mohammedia,Monica,58.0,2,1,6379.31,2026-05-11 20:49:52.469956
6885,Appart 121m Haut standing A Les Princesses,1950000.0,Casablanca,Les Princesses,121.0,3,2,16115.7,2026-05-11 20:49:52.470183
6886,Appartement dans immobilier zeryouh 2 façades,1200000.0,Tanger,El Majd,87.0,3,2,13793.1,2026-05-11 20:49:52.470559
6887,Appartement à vendre Tanger Castilla,2400000.0,Tanger,Castilla,133.0,3,1,18045.11,2026-05-11 20:49:52.471006
6888,Appartement en rez-de-chaussée à vendre à Marjane 1 Meknes,480000.0,Meknès,Autre Secteur,100.0,2,2,4800.0,2026-05-11 20:49:52.471186
6889,Vente Appartement 5 pièces de 156 m2 à Casablanca,2180000.0,Casablanca,2 Mars,156.0,3,3,13974.36,2026-05-11 20:49:52.471570
6890,Vente Appartement 4 pièces de 169 m2 à Marrakech,2800000.0,Marrakech,Guéliz,169.0,3,2,16568.05,2026-05-11 20:49:52.471660
6891,Vente Appartement 4 pièces de 117 m2 à Casablanca,1480000.0,Casablanca,Quartier Des Hôpitaux,117.0,3,1,12649.57,2026-05-11 20:49:52.471929
6892,Appartement à vendre près de Marjane route de Rabat --Tanger,1170000.0,Tanger,Marjane,78.0,2,2,15000.0,2026-05-11 20:49:52.472301
6893,"Appartement à la plage, Dahomi",740000.0,Bouznika,Plage Oued Cherrat,74.0,2,2,10000.0,2026-05-11 20:49:52.472397
6894,Appart 140m A Résidence Fermée Maarif,1960000.0,Casablanca,Maarif,140.0,2,2,14000.0,2026-05-11 20:49:52.473150
6895,Vente Appartement 4 pièces de 98 m2 à Casablanca,1620000.0,Casablanca,Californie,98.0,2,1,16530.61,2026-05-11 20:49:52.473433
6896,Vente Appartement de 125 m2 à Casablanca,2150000.0,Casablanca,Palmier,125.0,3,2,17200.0,2026-05-11 20:49:52.473614
6897,Appartement près d'Anatole France,800000.0,Casablanca,Belvédère,80.0,2,2,10000.0,2026-05-11 20:49:52.473884
6898,Appartements à vendre 58 m² à Agadir,480000.0,Agadir,Hay Salam,58.0,2,1,8275.86,2026-05-11 20:49:52.474161
6899,Appartement à vendre 54 m² à Casablanca DAR BOUAAZA,280000.0,Casablanca,Autre Secteur,54.0,2,1,5185.19,2026-05-11 20:49:52.474252
6900,CMN-SI-1967 - Appartement à vendre à Ziraoui,1530000.0,Casablanca,Bourgogne,91.0,2,1,16813.19,2026-05-11 20:49:52.475093
6901,Appartement à vendre 83 m² à guéliz Marrakech,1650000.0,Marrakech,Guéliz,80.0,2,1,20625.0,2026-05-11 20:49:52.475274
6902,Vente Appartement 3 pièces de 150 m2 à Marrakech,1900000.0,Marrakech,Av Mohammed Vi,150.0,2,2,12666.67,2026-05-11 20:49:52.475686
6903,Vente Appartement 3 pièces de 81 m2 à Marrakech,720000.0,Marrakech,Mabrouka,81.0,2,1,8888.89,2026-05-11 20:49:52.475958
6904,Vente appartement façade au centre ville Kénitra,780000.0,Tanger,Centre Ville,95.0,3,2,8210.53,2026-05-11 20:49:52.476698
6905,Casabay Superbe Appartement à vendre,1300000.0,Berrechid,Toute La Ville,89.0,4,2,14606.74,2026-05-11 20:49:52.476788
6906,Appartement à Vendre,1300000.0,Marrakech,Victor Hugo,75.0,2,2,17333.33,2026-05-11 20:49:52.477244
6907,Appartement derrière Mr Bricolage à vendre,480000.0,Marrakech,Route De Casablanca,51.0,2,1,9411.76,2026-05-11 20:49:52.477698
6908,appartement à vendre,740000.0,Kénitra,Alliance,92.0,3,1,8043.48,2026-05-11 20:49:52.537486
6909,Appartement à vendre 70 m² à Casablanca,270000.0,Casablanca,Autre Secteur,70.0,2,1,3857.14,2026-05-11 20:49:52.478634
6910,Appartement à vendre 120 m² à Casablanca,1520000.0,Casablanca,Mers Sultan,132.0,3,2,11515.15,2026-05-11 20:49:52.479355
6911,Appartement à vendre 55 m² à Mohammedia,950000.0,Mohammedia,Quartier Du Parc,55.0,2,1,17272.73,2026-05-11 20:49:52.482452
6912,🏠 APPARTEMENT STANDING 87 m² - HIVERNAGE MARRAKECH,1300000.0,Marrakech,Hivernage,87.0,2,1,14942.53,2026-05-11 20:49:52.482633
6913,Appartement neuf de très haut standing,1365000.0,Fès,Autre Secteur,150.0,3,3,9100.0,2026-05-11 20:49:52.482995
6914,Appt à vendre,270000.0,Safi,Lamiaa,60.0,2,1,4500.0,2026-05-11 20:49:52.546465
6915,Appartement usage Bureau ou Habitation Hivernage CTM,1100000.0,Marrakech,Hivernage,74.0,2,1,14864.86,2026-05-11 20:49:52.483453
6916,8RES EL HADI 1 R ABI DARDA.,3000000.0,Tanger,Administratif,234.0,3,2,12820.51,2026-05-11 20:49:52.483746
6917,Appartement à vendre 80 m² à Kénitra,660000.0,Kénitra,Al Maghrib Al Arabi,80.0,2,1,8250.0,2026-05-11 20:49:52.484023
6918,Appartement à vendre 189 m² à AIN DIAB EXTENSION,4000000.0,Casablanca,Aïn Diab,189.0,3,2,21164.02,2026-05-11 20:49:52.484397
6919,Appartement à vendre enregistré à Martil,580000.0,Martil,Toute La Ville,92.0,3,1,6304.35,2026-05-11 20:49:52.484761
6920,Appartement chouka à vendre 110 m² à Kénitra,930000.0,Kénitra,Seyad,110.0,3,2,8454.55,2026-05-11 20:49:52.485037
6921,Studio à vendre 78 m² à Casablanca,2300000.0,Casablanca,Casablanca Finance City,78.0,1,1,29487.18,2026-05-11 20:49:52.485524
6922,139010-Vente Appt à Casablanca Bourgogne (Sidi Belyout),2500000.0,Casablanca,Sidi Belyout,153.0,3,3,16339.87,2026-05-11 20:49:52.485709
6923,Appartement à vendre 110 m² à Kénitra,930000.0,Kénitra,Seyad,110.0,3,2,8454.55,2026-05-11 20:49:52.485800
6924,Appartement à vendre 84 m² à massira 1 Temara,920000.0,Temara,Massira 1,84.0,2,1,10952.38,2026-05-11 20:49:52.485897
6925,Magnifique appartement à vendre jardin majorelle,1600000.0,Marrakech,Majorelle,100.0,2,2,16000.0,2026-05-11 20:49:52.485986
6926,Appartement 260 m² Double Façade Cœur de Tétouan,1900000.0,Tétouan,Centre Ville,260.0,9,2,7307.69,2026-05-11 20:49:52.486183
6927,Studio à vendre / 44 m² à Casablanca / La Girande,520000.0,Casablanca,La Gironde,44.0,1,1,11818.18,2026-05-11 20:49:52.486274
6928,182181-Vente Appt à Casablanca Triangle D'Or de 15,3500000.0,Casablanca,Maarif,155.0,3,2,22580.65,2026-05-11 20:49:52.486395
6929,Joli Appartement Situé à 2 Mars Négociable.,1020000.0,Casablanca,2 Mars,116.0,3,1,8793.1,2026-05-11 20:49:52.486859
6930,30013-Vente Appt à Casablanca Californie de 269 m²,4000000.0,Casablanca,Californie,269.0,3,3,14869.89,2026-05-11 20:49:52.487136
6931,"Appartement neufs à vendre, Guéliz",1600000.0,Marrakech,Guéliz,84.0,2,2,19047.62,2026-05-11 20:49:52.487225
6932,Appartements de soutien excellents à partir de 90 m²,420000.0,Azemmour,Toute La Ville,110.0,3,2,3818.18,2026-05-11 20:49:52.487318
6933,"Appartement à vendre à Jnan Zaitoun, premier étage",300000.0,Mohammedia,Autre Secteur,54.0,2,1,5555.56,2026-05-11 20:49:52.487787
6934,Bel appartement à Wifak,1350000.0,Temara,Wifak,86.0,2,1,15697.67,2026-05-11 20:49:52.488168
6935,175318-Vente Appt à Casablanca Hopitaux de 161 m²,1763555.0,Casablanca,Maarif,161.0,3,1,10953.76,2026-05-11 20:49:52.488256
6936,appartement 2 chambres Résidence Piscine,1100000.0,Marrakech,Route De Casablanca,83.0,2,1,13253.01,2026-05-11 20:49:52.488346
6937,Bel appartement à Wifak,1400000.0,Temara,Wifak,81.0,2,1,17283.95,2026-05-11 20:49:52.488657
6938,Studio à vendre 64 m² à Casablanca,2200000.0,Casablanca,Casablanca Finance City,64.0,1,1,34375.0,2026-05-11 20:49:52.488753
6939,Appartements à vendre 65 m² à Tanger,860000.0,Tanger,Ain El Hayani,65.0,2,1,13230.77,2026-05-11 20:49:52.489073
6940,3 chambres sans vis a vis Shems Bouznika Premium,980000.0,Bouznika,Quartier Industriel,87.0,3,1,11264.37,2026-05-11 20:49:52.489252
